,Wind,Solar
1,0.287908551,0
2,0.290031825,0
3,0.288582281,0
4,0.274154742,0
5,0.260135386,0
6,0.262211585,0
7,0.256529757,0.000440412
8,0.247531891,0.015960795
9,0.179032588,0.144048703
10,0.093107371,0.324601825
11,0.118312753,0.482241311
12,0.121905158,0.592769309
13,0.122639318,0.654562744
14,0.118181959,0.671994352
15,0.160604145,0.639901403
16,0.196358032,0.560938812
17,0.222391801,0.435047838
18,0.246628967,0.273623962
19,0.266158034,0.097789871
20,0.287524248,0.00248546
21,0.316570595,0
22,0.299893104,0
23,0.297844708,0
24,0.298870179,0
25,0.285748825,0
26,0.264513036,0
27,0.246539515,0
28,0.256325149,0
29,0.250167152,0
30,0.246577175,0
31,0.238832593,0.000383268
32,0.228579432,0.016501614
33,0.182137492,0.140800868
34,0.091898781,0.318079363
35,0.128207071,0.46573205
36,0.135928693,0.575236506
37,0.149299893,0.644386069
38,0.145236795,0.657769555
39,0.165590151,0.627145568
40,0.211448757,0.54769238
41,0.226057975,0.424228387
42,0.250250945,0.264317631
43,0.27393217,0.093988176
44,0.306786818,0.002540192
45,0.347502114,0
46,0.364503342,0
47,0.358974343,0
48,0.35975517,0
49,0.358504757,0
50,0.330442025,0
51,0.310675248,0
52,0.302596892,0
53,0.272884916,0
54,0.214435981,0
55,0.198920631,0.000337818
56,0.187303172,0.0160525
57,0.135363836,0.142732451
58,0.071517516,0.321811355
59,0.101537459,0.479565751
60,0.118447369,0.584537409
61,0.124114441,0.646444503
62,0.093967729,0.660546265
63,0.111917942,0.630602304
64,0.119326173,0.554959604
65,0.148596671,0.437716495
66,0.169515164,0.27192277
67,0.203167288,0.097621688
68,0.242946148,0.002545307
69,0.267841093,0
70,0.270090718,0
71,0.276753492,0
72,0.257198,0
73,0.239341787,0
74,0.246033022,0
75,0.236136647,0
76,0.221081249,0
77,0.197231137,0
78,0.19143035,0
79,0.176235148,0.000299552
80,0.162620762,0.01482274
81,0.138364015,0.138241006
82,0.071574876,0.311594407
83,0.078920463,0.455081608
84,0.085193354,0.562477245
85,0.091937454,0.624378885
86,0.102951558,0.641204955
87,0.136439143,0.614155012
88,0.156828528,0.542300918
89,0.176364402,0.426273068
90,0.199532035,0.266981777
91,0.201828868,0.095396636
92,0.224491386,0.002847277
93,0.256024163,0
94,0.264401639,0
95,0.258962286,0
96,0.241966385,0
97,0.218602411,0
98,0.201444025,0
99,0.19547771,0
100,0.196897195,0
