,demand,vreGen-region1,BESS_Dispatch_in,BESS_Dispatch_out,region1-region2,region2-region1,Hydro1,Coal1,Bio1,CCGT1
2050-01-01 00:00:00,9.229264019999999,4.9,-0.0,2.5,-0.0,0.0,0.5,1.3292640199999983,0.0,0.0
2050-01-01 01:00:00,8.897908472,4.45,-0.0,1.5,-0.0,0.0,0.5,2.447908471999999,0.0,0.0
2050-01-01 02:00:00,8.686192611,4.6,-0.0,0.0,-0.0,0.0,0.5,3.5861926109999995,0.0,0.0
2050-01-01 03:00:00,8.517217119000001,4.55,-0.0,0.0,-0.0,0.0,0.5,3.4672171190000016,0.0,0.0
2050-01-01 04:00:00,8.381620535,4.65,-0.0,0.0,-0.0,0.0,0.5,3.2316205349999994,0.0,0.0
2050-01-01 05:00:00,8.295236273,4.35,-0.0,0.0,-0.0,0.0,0.3942181696774192,3.5510181033225816,0.0,0.0
2050-01-01 06:00:00,7.479233676,7.65,-0.17076632400000058,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 07:00:00,7.422267049,13.725,-2.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 08:00:00,5.679148765,14.175,-2.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 09:00:00,5.166059993,14.25,-2.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 10:00:00,5.250956208,13.7,-1.3292336759999994,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 11:00:00,5.419680868,12.35,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 12:00:00,5.422698722,12.6,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 13:00:00,5.471020063,12.375,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 14:00:00,5.40388149,11.274999999999999,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 15:00:00,5.571053652000001,10.15,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 16:00:00,6.602142356,10.55,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 17:00:00,8.922654833000001,9.425,-0.0,0.0,-0.5023451669999996,0.0,0.0,0.0,0.0,0.0
2050-01-01 18:00:00,10.151541282999998,4.7,-0.0,2.5,-0.0,0.0,0.0,2.9515412829999983,0.0,0.0
2050-01-01 19:00:00,11.347273359999999,3.6,-0.0,2.5,-0.0,0.0,0.0,5.247273359999999,0.0,0.0
2050-01-01 20:00:00,11.452061564,3.2,-0.0,2.5,-0.0,0.0,0.0,5.752061563999998,0.0,0.0
2050-01-01 21:00:00,11.106773102,2.85,-0.0,1.5,-0.0,0.0,0.0,6.756773102,0.0,0.0
2050-01-01 22:00:00,10.071794546000001,2.4,-0.0,0.0,-0.0,0.0,0.0,7.671794546000001,0.0,0.0
2050-01-01 23:00:00,9.32694382,2.2,-0.0,0.0,-0.0,0.0,0.0,7.12694382,0.0,0.0
2050-01-02 00:00:00,9.324182977,1.95,-0.0,0.0,-0.0,0.0,0.5,6.874182976999999,0.0,0.0
2050-01-02 01:00:00,9.499580217999998,1.5,-0.0,0.0,-0.0,0.0,0.5,7.499580217999998,0.0,0.0
2050-01-02 02:00:00,9.255588055,1.35,-0.0,0.0,-0.0,0.0,0.5,7.405588055000001,0.0,0.0
2050-01-02 03:00:00,8.940259704,1.4,-0.0,0.0,-0.0,0.0,0.5,7.040259704,0.0,0.0
2050-01-02 04:00:00,8.770019474000001,1.7,-0.0,0.0,-0.0,0.0,0.5,6.570019474000001,0.0,0.0
2050-01-02 05:00:00,8.687460812000001,1.65,-0.0,0.0,-0.0,0.0,0.3942181696774192,6.643242642322582,0.0,0.0
2050-01-02 06:00:00,7.326849241,5.05,-0.0,0.0,-0.0,0.0,0.0,2.276849241,0.0,0.0
2050-01-02 07:00:00,5.876068439000001,10.25,-2.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-02 08:00:00,4.911738089,10.7,-2.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-02 09:00:00,4.631633620000001,11.25,-2.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-02 10:00:00,4.877988931,11.45,-1.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-02 11:00:00,4.944803437000001,11.45,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-02 12:00:00,4.806689071999999,11.3,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-02 13:00:00,4.782622122,10.1,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-02 14:00:00,5.051258671,9.025,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-02 15:00:00,5.858267410000001,8.3,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-02 16:00:00,8.05497533,6.0,-0.0,2.0549753299999995,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-02 17:00:00,10.607085402000001,4.35,-0.0,2.5,-0.0,3.7570854020000013,0.0,0.0,0.0,0.0
2050-01-02 18:00:00,11.747499731,3.275,-0.0,2.5,-0.0,0.0,0.0,5.972499730999999,0.0,0.0
2050-01-02 19:00:00,12.591082912999997,2.6,-0.0,1.9450246700000005,-0.0,0.0,0.0,8.046058242999997,0.0,0.0
2050-01-02 20:00:00,12.588388353,2.25,-0.0,0.0,-0.0,0.0,0.0,10.0,0.33838835299999914,0.0
2050-01-02 21:00:00,12.198221509,1.8,-0.0,0.0,-0.0,0.0,0.0,10.0,0.398221508999999,0.0
2050-01-02 22:00:00,10.952001555,1.6,-0.0,0.0,-0.0,0.0,0.0,9.352001555000001,0.0,0.0
2050-01-02 23:00:00,9.928704052,1.35,-0.0,0.0,-0.0,0.0,0.0,8.578704052,0.0,0.0
2050-01-03 00:00:00,9.913097772,0.95,-0.0,0.0,-0.0,0.0,0.5,8.463097772000001,0.0,0.0
2050-01-03 01:00:00,9.835574022000001,0.85,-0.0,0.0,-0.0,0.0,0.5,8.485574022000002,0.0,0.0
2050-01-03 02:00:00,9.687506830999999,0.65,-0.0,0.0,-0.0,0.0,0.5,8.537506830999998,0.0,0.0
2050-01-03 03:00:00,9.45210367,0.65,-0.0,0.0,-0.0,0.0,0.5,8.30210367,0.0,0.0
2050-01-03 04:00:00,9.301614002,0.5,-0.0,0.0,-0.0,0.0,0.5,8.301614002,0.0,0.0
2050-01-03 05:00:00,9.367831454,0.7,-0.0,0.0,-0.0,0.0,0.3942181696774192,8.27361328432258,0.0,0.0
2050-01-03 06:00:00,8.537300607999999,4.1,-0.0,0.0,-0.0,0.0,0.0,4.437300607999999,0.0,0.0
2050-01-03 07:00:00,8.032480172,10.274999999999999,-2.242519827999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-03 08:00:00,7.9841011779999995,11.95,-2.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-03 09:00:00,7.866740236,11.75,-2.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-03 10:00:00,7.81993404,12.0,-1.757480172000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-03 11:00:00,8.015512071,12.35,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-03 12:00:00,7.780928126999999,12.275,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-03 13:00:00,8.081496790000001,12.1,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-03 14:00:00,8.069379607,11.625,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-03 15:00:00,8.576620279999998,11.25,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-03 16:00:00,10.166936251,9.6,-0.0,0.5669362509999996,-0.0,0.0,0.0,0.0,0.0,0.0
2050-01-03 17:00:00,11.344127253,6.65,-0.0,2.5,-0.0,2.1941272529999996,0.0,0.0,0.0,0.0
2050-01-03 18:00:00,11.938133871,2.9,-0.0,2.5,-0.0,0.0,0.0,6.538133870999999,0.0,0.0
2050-01-03 19:00:00,12.852510877,1.9,-0.0,2.5,-0.0,0.0,0.0,8.452510877,0.0,0.0
